CS_angle,F_alt,rate_HC,P_angle,Windspeed,Airspeed,Engine_thrust,Attack_angle,P_rate,Roll_rate,Yaw_rate
0,8.662,111.9459,0.674286,40.78,191,7.46,0,34.4,2.2,-7.1
0.0026,9.599,142.0258,0.154494,64.16,42,7.843,0,42.1,15.1,-2.2
0.0069,10.589,39.6479,-0.403721,44.73,188,7.834,0,10.3,-20.4,12.1
0.0085,10.467,108.9445,0.296154,54.28,47,10.382,0,-26.4,6.4,-14.1
0.0148,8.395,-6.8503,0.142295,74.55,189,8.602,0,-24.9,21.6,15.9
0.0214,9.443,-42.6587,-0.330619,32.59,170,7.957,0,39.8,-24.2,6.9
0.0231,9.141,-30.9154,0.710416,59.22,184,9.658,0,40.1,5.2,-0.7
0.0265,11.371,14.9927,0.712736,71.41,194,7.397,0,-5.6,-17.9,-28.3
0.0293,11.046,-47.9865,-0.084064,59.91,59,7.073,0,-16.5,-13.3,25.5
0.0343,10.901,-47.6213,0.784417,46.73,191,10.311,0,-10.9,20.3,-21.3
0.0371,9.079,-69.8429,0.21946,69.06,137,10.491,0,12.7,-19.6,26.8
0.0431,10.942,-55.7155,0.307256,71.96,171,10.863,0,4.3,-23.8,0.1
0.0487,8.059,-88.38,-0.021534,63.63,74,8.87,0,-15.1,20.3,17.1
0.0517,8.74,129.6177,0.702916,40.61,176,8.07,0,35.4,4.7,5.8
0.0529,9.856,-87.9238,0.774325,35.4,131,10.185,0,-12.5,9.3,-1
0.0573,9.948,25.4577,0.672954,41.9,136,10.272,0,-16,-24,25.9
0.061,8.824,104.8094,0.744984,46.58,197,7.093,0,19.1,-8.8,10.9
0.0611,11.991,95.2665,-0.199377,64.38,189,7.895,0,43.6,22.5,-17.2
0.064,11.879,132.8451,-0.018423,30.74,135,9.125,0,-12.7,-24.8,8.1
0.0671,11.268,37.2664,0.663331,36.36,43,7.046,0.1,5.5,12,-14.2
0.0673,10.743,139.7717,0.208765,77.44,55,10.673,0.1,33.1,12.1,-14.6
0.0707,8.782,31.4959,0.046227,79.02,81,9.516,0.1,-9.4,1.8,2.8
0.0736,11.075,113.0951,0.681589,78.24,43,10.597,0.1,29.3,23.9,7.3
0.0795,9.186,-89.2631,-0.273044,30.3,89,9.95,0.1,30.3,-8.8,29.6
0.0847,11.253,13.0583,-0.176997,75.72,153,7.576,0.1,1.2,-18.5,9.2
0.0915,8.224,-15.0611,-0.056437,68.19,109,8.918,0.1,41.6,-13.2,-9.9
0.0926,8.183,44.8587,-0.085184,58.59,153,7.404,0.1,33.7,-2.4,-17.6
0.0974,11.351,139.3742,0.732736,45.84,162,10.353,0.1,13.3,21.3,-23.6
0.1032,11.026,59.2436,0.567182,33.66,189,7.319,0.1,-21.5,13.8,27.4
0.1058,9.977,-26.6791,-0.424379,46.44,92,10.069,0.1,1.8,-19.2,-23.2
0.1082,8.721,40.2055,0.515363,72.19,146,10.565,0.1,32.1,-14.8,-21.5
0.1137,9.526,141.1511,0.280386,57.96,192,9.053,0.1,19.6,0.2,7.3
0.1182,8.797,-105.2779,-0.220768,62.94,72,8.84,0.1,1.1,21.2,14.5
0.1216,8.788,139.0635,-0.031913,67.72,105,8.722,0.2,-3.7,10.3,-11
0.1265,11.687,127.9603,-0.503298,55.46,42,10.799,0.2,18,-2.4,-10.2
0.1294,8.295,-75.5038,0.692125,53.45,164,8.57,0.2,0.3,14.8,-24
0.1294,8.754,107.597,0.427472,57.11,199,9.976,0.2,6.2,0.5,-19.4
0.1329,11.421,57.6097,-0.348061,79.45,192,10.32,0.2,38.9,21.1,19.5
0.1375,8.666,103.5283,-0.14716,69.12,40,10.713,0.2,27.5,14.2,-21.9
0.1418,8.727,5.1217,0.638266,63.19,63,8.096,0.2,35.3,-20.3,-5.9
0.1422,10.042,65.5305,0.223601,64.34,151,8.107,0.2,-16.6,-2.4,-11.9
0.1461,10.152,87.9718,-0.080039,68.66,146,7.23,0.2,16.9,16.6,16.5
0.1515,8.773,53.9807,-0.389311,76.87,123,8.46,0.2,37.2,14.9,-28.5
0.1579,10.5,91.4411,0.416723,46.77,182,8.828,0.2,-16.9,-13,-8.1
0.1623,11.222,-48.7492,0.671811,52.51,80,8.726,0.2,11.1,-10.5,-28.3
0.1637,8.615,149.8131,-0.346055,78.68,41,7.805,0.2,10.2,-24.5,19.8
0.1653,8.052,48.1484,0.364913,31.38,188,10.533,0.2,-25.7,17,22.8
0.1661,10.011,23.505,-0.430859,56.98,83,7.487,0.2,-11,-4.6,24.4
0.1693,9.796,129.6724,0.36542,32.77,151,8.975,0.2,36.1,-1.1,-0.8
0.1715,9.067,-15.3858,0.389538,45.8,174,10.772,0.2,1.2,9.6,2.5
0.1781,8.926,-66.282,0.771349,49.96,109,8.217,0.2,-16.8,18.7,29.1
0.1806,11.803,-93.0903,0.375004,35.33,93,8.99,0.2,18.5,-12.5,-2.8
0.1818,9.332,-31.8589,0.733652,62.41,65,7.605,0.2,20.4,3.3,22.2
0.1863,9.169,95.9506,0.046104,54.71,45,7.41,0.2,26.3,-3.4,27.1
0.1876,11.971,129.677,-0.243782,79.23,44,9.126,0.3,-14.4,22.7,26.2
0.1881,10.409,37.5122,0.154081,79.04,89,8.658,0.3,42.1,16.1,19.3
0.1909,11.047,143.8885,0.360973,31.18,66,8.252,0.3,13,-14.1,0.8
0.1926,9.064,-2.5111,0.099502,48.63,160,7.98,0.3,9.1,9,-3.1
0.1936,10.83,54.7336,-0.258842,39.82,121,7.609,0.3,37.9,15,6.9
0.1969,11.514,104.335,0.683005,67.1,67,9.579,0.3,43.8,21.3,13.6
0.2019,10.854,41.019,0.324035,57.6,107,7.019,0.3,-7.5,-21.3,-24.8
0.2057,9.828,128.0653,0.189476,42.12,130,9.946,0.3,7.9,-5.3,-11.5
0.2071,11.002,40.0278,0.308129,76.96,184,8.624,0.3,-6.9,24.6,19.6
0.2125,8.94,0.1893,-0.359074,56.98,129,10.383,0.3,-11.1,-2.5,18.4
0.2148,9.987,115.6853,0.408771,65.68,139,7.006,0.3,22.1,12.3,-28
0.2181,10.714,-2.3524,0.015425,45.94,183,7.586,0.3,38.2,3.9,19.4
0.2251,10.953,28.4609,-0.001255,65.4,103,8.113,0.3,23,-9.1,17.9
0.2318,11.831,9.7778,-0.407645,51.77,121,7.873,0.3,33.2,-16.8,-4.7
0.2331,10.727,-17.378,0.637899,69,200,9.153,0.3,29.5,24.7,12.1
0.2362,9.228,11.7171,-0.01564,31.44,144,9.595,0.3,-20.2,-2.3,21.1
0.2426,10.81,-45.3689,0.004307,67.51,176,7.264,0.3,16.6,-7.6,-7.8
0.2458,11.182,-58.621,-0.472713,79.27,148,10.231,0.3,5.9,22.8,26
0.2478,10.473,118.5127,-0.056972,77.44,105,8.265,0.4,-2,2.9,10.9
